#scan;iMeasureCycle=1;iMux=0;time=0.133;N=482;LocalTime=31/10/2023 13:26:53;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;IDrain^1/2
46;5.92E-10;36.624948;1;7.93E-07;36.624948;;0.000890505
46.5;6.00E-10;36.775128;1;8.09E-07;36.775128;;0.000899444
46.9999;6.20E-10;36.949551;1;8.31E-07;36.949551;;0.000911592
47.4999;6.27E-10;37.100115;1;8.51E-07;37.100115;;0.000922497
48;6.22E-10;37.250331;1;8.67E-07;37.250331;;0.000931128
48.5;6.16E-10;37.400596;1;8.85E-07;37.400596;;0.000940744
48.9999;6.34E-10;37.569204;1;9.03E-07;37.569204;;0.000950263
49.5;6.35E-10;37.719515;0.999999;9.21E-07;37.719515;;0.000959687
50;6.41E-10;37.869677;1;9.39E-07;37.869677;;0.00096902
50.4999;6.59E-10;38.019956;0.999999;9.60E-07;38.019956;;0.000979796
51;6.40E-10;38.170388;1;9.79E-07;38.170388;;0.000989444
51.4999;6.58E-10;38.320717;0.999999;9.96E-07;38.320717;;0.000997998
51.9999;6.73E-10;38.484564;1;1.01E-06;38.484564;;0.001004988
52.4999;6.86E-10;38.634925;1;1.03E-06;38.634925;;0.001014889
52.9999;6.63E-10;38.788523;1;1.06E-06;38.788523;;0.001029563
53.5;6.86E-10;38.974697;1;1.07E-06;38.974697;;0.001034408
54;6.89E-10;39.125105;1;1.09E-06;39.125105;;0.001044031
54.4999;6.99E-10;39.275314;1;1.11E-06;39.275314;;0.001053565
55;6.82E-10;39.454017;1;1.13E-06;39.454017;;0.001063015
55.4999;6.93E-10;39.604455;1;1.15E-06;39.604455;;0.001072381
56;7.10E-10;39.754801;1;1.16E-06;39.754801;;0.001077033
56.4999;7.16E-10;39.905147;1;1.19E-06;39.905147;;0.001090871
57;7.26E-10;40.075374;1;1.20E-06;40.075374;;0.001095445
57.4999;7.39E-10;40.225704;1;1.22E-06;40.225704;;0.001104536
58;7.45E-10;40.376115;1;1.23E-06;40.376115;;0.001109054
58.5;7.46E-10;40.526449;1;1.26E-06;40.526449;;0.001122497
59;7.64E-10;40.676956;1;1.27E-06;40.676956;;0.001126943
59.5;7.64E-10;40.827307;1;1.29E-06;40.827307;;0.001135782
59.9999;7.57E-10;40.987098;1;1.31E-06;40.987098;;0.001144552
59.9999;7.46E-10;41.109621;1;1.31E-06;41.109621;;0.001144552
59.4999;7.04E-10;41.25994;1;1.29E-06;41.25994;;0.001135782
59;6.68E-10;41.410332;1;1.26E-06;41.410332;;0.001122497
58.5;6.33E-10;41.578961;1;1.25E-06;41.578961;;0.001118034
57.9999;6.03E-10;41.729398;1;1.22E-06;41.729398;;0.001104536
57.4999;5.78E-10;41.879718;1;1.19E-06;41.879718;;0.001090871
57;5.59E-10;42.030162;1;1.17E-06;42.030162;;0.001081665
56.5;5.25E-10;42.180526;1;1.15E-06;42.180526;;0.001072381
55.9999;4.92E-10;42.330916;1;1.13E-06;42.330916;;0.001063015
55.5;4.62E-10;42.49028;1;1.10E-06;42.49028;;0.001048809
55;4.37E-10;42.640581;1;1.07E-06;42.640581;;0.001034408
54.4999;3.88E-10;42.790824;1;1.05E-06;42.790824;;0.001024695
54;3.79E-10;42.964592;1;1.03E-06;42.964592;;0.001014889
53.4999;3.75E-10;43.114954;0.999999;1.01E-06;43.114954;;0.001004988
52.9999;3.45E-10;43.26527;1;9.81E-07;43.26527;;0.000990454
52.4999;3.41E-10;43.415602;1;9.59E-07;43.415602;;0.000979285
52;3.18E-10;43.583799;1;9.34E-07;43.583799;;0.000966437
51.4999;2.88E-10;43.734051;1;9.08E-07;43.734051;;0.00095289
50.9999;2.84E-10;43.887017;1;8.82E-07;43.887017;;0.000939149
50.4999;2.62E-10;44.037336;1;8.63E-07;44.037336;;0.000928978
50;2.57E-10;44.187819;1;8.41E-07;44.187819;;0.000917061
49.4999;2.45E-10;44.338137;0.999999;8.19E-07;44.338137;;0.000904986
48.9999;2.39E-10;44.499528;0.999999;8.00E-07;44.499528;;0.000894427
48.5;2.49E-10;44.649797;1;7.77E-07;44.649797;;0.000881476
48;2.32E-10;44.800084;1;7.59E-07;44.800084;;0.000871206
47.5;2.25E-10;44.988595;1;7.34E-07;44.988595;;0.000856738
46.9999;2.15E-10;45.138915;1;7.14E-07;45.138915;;0.000844985
46.5;2.17E-10;45.28916;1;6.90E-07;45.28916;;0.000830662
45.9999;2.00E-10;45.468911;1;6.67E-07;45.468911;;0.000816701
45.5;2.05E-10;45.619199;1;6.44E-07;45.619199;;0.000802496
45;1.91E-10;45.769445;1;6.19E-07;45.769445;;0.000786766
44.5;1.81E-10;45.919762;1;6.00E-07;45.919762;;0.000774597
43.9999;1.81E-10;46.089924;1;5.77E-07;46.089924;;0.000759605
43.4999;1.65E-10;46.240128;1;5.56E-07;46.240128;;0.000745654
42.9999;1.81E-10;46.390361;1;5.37E-07;46.390361;;0.000732803
42.5;1.61E-10;46.540428;1;5.13E-07;46.540428;;0.00071624
41.9999;1.36E-10;46.690802;1;4.95E-07;46.690802;;0.000703562
41.5;1.48E-10;46.84099;0.999999;4.74E-07;46.84099;;0.000688477
41;1.23E-10;47.00502;1;4.52E-07;47.00502;;0.000672309
40.5001;1.26E-10;47.155437;1;4.36E-07;47.155437;;0.000660303
39.9999;1.24E-10;47.30565;1;4.17E-07;47.30565;;0.000645755
39.5;1.24E-10;47.489625;1;3.93E-07;47.489625;;0.000626897
39;1.03E-10;47.639941;1;3.78E-07;47.639941;;0.000614817
38.5;1.07E-10;47.790006;1;3.60E-07;47.790006;;0.0006
