#scan;iMeasureCycle=1;iMux=0;time=0.136;N=482;LocalTime=31/10/2023 11:52:45;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;Idrain^1/2(A^1/2)
52.9999;5.85E-10;46.242852;1;-7.32E-12;46.242852;;;0
52.4999;5.53E-10;46.419424;0.999999;-6.91E-12;46.419424;;;0
52;5.59E-10;46.596486;1;-7.90E-12;46.596486;;;0
51.5;5.47E-10;46.773069;0.999999;-5.66E-12;46.773069;;;0
50.9999;5.42E-10;46.94951;1;-5.33E-12;46.94951;;;0
50.5;5.12E-10;47.135417;1;-7.51E-12;47.135417;;;0
49.9999;5.01E-10;47.312065;0.999999;-7.60E-12;47.312065;;;0
49.5;4.86E-10;47.521135;0.999999;-6.64E-12;47.521135;;;0
49;4.87E-10;47.697676;0.999999;-5.23E-12;47.697676;;;0
48.5;4.67E-10;47.874357;1;-3.15E-12;47.874357;;;0
47.9999;4.22E-10;48.051782;0.999999;-1.25E-12;48.051782;;;0
47.5;4.07E-10;48.228274;1;-7.70E-13;48.228274;;;0
46.9999;3.98E-10;48.404805;0.999999;1.28E-12;48.404805;;;1.13137E-06
46.5;4.02E-10;48.583267;0.999999;2.64E-12;48.583267;;;1.62481E-06
46;3.63E-10;48.75972;1.000001;6.59E-12;48.75972;;;2.5671E-06
45.5;3.39E-10;48.936117;0.999999;7.32E-12;48.936117;;;2.70555E-06
45;3.64E-10;49.114528;0.999999;5.46E-12;49.114528;;;2.33666E-06
44.5;3.48E-10;49.290931;0.999999;7.59E-12;49.290931;;;2.755E-06
44;3.17E-10;49.48644;0.999999;7.68E-12;49.48644;;;2.77128E-06
43.5;3.15E-10;49.662914;0.999999;7.61E-12;49.662914;;;2.75862E-06
42.9999;3.18E-10;49.839412;1;7.42E-12;49.839412;;;2.72397E-06
42.4999;2.96E-10;50.054117;0.999999;7.23E-12;50.054117;;;2.68887E-06
42;3.05E-10;50.230499;0.999999;6.51E-12;50.230499;;;2.55147E-06
41.5;2.90E-10;50.407106;0.999999;8.66E-12;50.407106;;;2.94279E-06
41;2.89E-10;50.583578;0.999999;6.34E-12;50.583578;;;2.51794E-06
40.5001;2.60E-10;50.760154;0.999999;7.98E-12;50.760154;;;2.82489E-06
40;2.37E-10;50.936516;1;1.00E-11;50.936516;;;3.16228E-06
39.4999;2.49E-10;51.113056;1;7.57E-12;51.113056;;;2.75136E-06
38.9999;2.41E-10;51.289333;0.999999;9.15E-12;51.289333;;;3.0249E-06
38.5;2.37E-10;51.465752;0.999999;1.02E-11;51.465752;;;3.19374E-06
38;2.23E-10;51.648649;1;1.02E-11;51.648649;;;3.19374E-06
37.5;2.20E-10;51.825282;1;7.93E-12;51.825282;;;2.81603E-06
36.9999;2.20E-10;52.035066;1;5.81E-12;52.035066;;;2.41039E-06
36.5;1.80E-10;52.211493;1;9.82E-12;52.211493;;;3.13369E-06
36;1.84E-10;52.38791;1;9.42E-12;52.38791;;;3.0692E-06
35.5;1.86E-10;52.564144;1;7.62E-12;52.564144;;;2.76043E-06
34.9999;1.93E-10;52.740655;0.999999;4.94E-12;52.740655;;;2.22261E-06
