File Name: 07_Sample14_device4_trfsat_dark_final.dat;;;;;;;;;
File Data: 15/11/2023;13:00:03;;;;;;;;
Start V: 0;;;;;;;;;
Step V: 0;;;;;;;;;
Stop V: 0;;;;;;;;;
Range V: 20;;;;;;;;;
Delay(ms): 0;;;;;;;;;
Auorange: yes;;;;;;;;;
Sweep type: log;;;;;;;;;
Instrument Meter: SM2614;;;;;;;;;
Time(ms);Vdrain(V);Idrain(A);Vgate(V);Igate(A);;;;|IDrain|, |IGate| (A);|IGate| (A)
5.90E+04;1.00E+00;1.61E-05;8.50E+00;2.91E-10;;;;0.000016113;2.9121E-10
5.95E+04;1.00E+00;1.64E-05;9.00E+00;2.96E-10;;;;0.000016427;2.9554E-10
6.00E+04;1.00E+00;1.67E-05;9.50E+00;2.96E-10;;;;0.000016737;2.9646E-10
6.05E+04;1.00E+00;1.71E-05;1.00E+01;2.78E-10;;;;0.00001707;2.7803E-10
6.10E+04;1.00E+00;1.74E-05;1.05E+01;5.41E-10;;;;0.000017355;5.4138E-10
6.15E+04;1.00E+00;1.77E-05;1.10E+01;2.99E-10;;;;0.000017704;2.9851E-10
6.20E+04;1.00E+00;1.80E-05;1.15E+01;2.92E-10;;;;0.000018011;2.9164E-10
6.25E+04;1.00E+00;1.83E-05;1.20E+01;2.88E-10;;;;0.000018318;2.8815E-10
6.30E+04;1.00E+00;1.87E-05;1.25E+01;2.93E-10;;;;0.000018654;2.9263E-10
6.35E+04;1.00E+00;1.90E-05;1.30E+01;2.93E-10;;;;0.000018952;2.929E-10
6.40E+04;1.00E+00;1.93E-05;1.35E+01;2.92E-10;;;;0.00001926;2.9166E-10
6.45E+04;1.00E+00;1.96E-05;1.40E+01;2.90E-10;;;;0.000019571;2.9007E-10
6.50E+04;1.00E+00;1.99E-05;1.45E+01;2.89E-10;;;;0.000019867;2.8937E-10
6.55E+04;1.00E+00;2.02E-05;1.50E+01;2.94E-10;;;;0.000020172;2.9446E-10
6.60E+04;1.00E+00;2.05E-05;1.55E+01;2.88E-10;;;;0.000020525;2.8829E-10
6.65E+04;1.00E+00;2.09E-05;1.60E+01;2.94E-10;;;;0.00002086;2.9398E-10
6.70E+04;1.00E+00;2.12E-05;1.65E+01;2.91E-10;;;;0.000021168;2.9074E-10
6.75E+04;1.00E+00;2.15E-05;1.70E+01;2.94E-10;;;;0.000021506;2.9395E-10
6.80E+04;1.00E+00;2.18E-05;1.75E+01;2.93E-10;;;;0.000021839;2.9261E-10
6.85E+04;1.00E+00;2.22E-05;1.80E+01;2.91E-10;;;;0.000022152;2.9116E-10
6.90E+04;1.00E+00;2.25E-05;1.85E+01;2.91E-10;;;;0.000022491;2.9143E-10
6.95E+04;1.00E+00;2.28E-05;1.90E+01;2.93E-10;;;;0.00002283;2.9254E-10
7.00E+04;1.00E+00;2.31E-05;1.95E+01;2.93E-10;;;;0.000023144;2.9339E-10
7.05E+04;1.00E+00;2.35E-05;2.00E+01;2.93E-10;;;;0.000023468;2.926E-10
7.10E+04;1.00E+00;2.38E-05;2.05E+01;3.04E-10;;;;0.000023781;3.0372E-10
7.15E+04;1.00E+00;2.41E-05;2.10E+01;2.94E-10;;;;0.000024112;2.9392E-10
7.20E+04;1.00E+00;2.45E-05;2.15E+01;2.94E-10;;;;0.000024459;2.9378E-10
7.25E+04;1.00E+00;2.48E-05;2.20E+01;2.94E-10;;;;0.000024777;2.9366E-10
7.30E+04;1.00E+00;2.51E-05;2.25E+01;2.92E-10;;;;0.000025124;2.9176E-10
7.35E+04;1.00E+00;2.55E-05;2.30E+01;2.94E-10;;;;0.000025481;2.939E-10
7.40E+04;1.00E+00;2.59E-05;2.35E+01;3.00E-10;;;;0.000025852;3.0047E-10
7.45E+04;1.00E+00;2.62E-05;2.40E+01;2.92E-10;;;;0.000026195;2.9211E-10
7.50E+04;1.00E+00;2.65E-05;2.45E+01;2.98E-10;;;;0.00002651;2.9846E-10
7.55E+04;1.00E+00;2.68E-05;2.50E+01;2.94E-10;;;;0.000026847;2.9362E-10
7.60E+04;1.00E+00;2.72E-05;2.55E+01;3.76E-10;;;;0.000027179;3.7598E-10
7.65E+04;1.00E+00;2.75E-05;2.60E+01;3.82E-10;;;;0.000027491;3.815E-10
7.70E+04;1.00E+00;2.78E-05;2.65E+01;3.03E-10;;;;0.000027829;3.0274E-10
7.75E+04;1.00E+00;2.82E-05;2.70E+01;2.93E-10;;;;0.00002817;2.9288E-10
7.80E+04;1.00E+00;2.85E-05;2.75E+01;2.94E-10;;;;0.000028512;2.9355E-10
7.85E+04;1.00E+00;2.89E-05;2.80E+01;2.96E-10;;;;0.000028857;2.964E-10
7.90E+04;1.00E+00;2.92E-05;2.85E+01;3.00E-10;;;;0.0000292;2.9997E-10
7.95E+04;1.00E+00;2.96E-05;2.90E+01;2.93E-10;;;;0.000029564;2.9266E-10
8.00E+04;1.00E+00;2.99E-05;2.95E+01;3.00E-10;;;;0.00002988;3.0027E-10
8.05E+04;1.00E+00;3.02E-05;3.00E+01;3.01E-10;;;;0.000030223;3.009E-10
8.10E+04;1.00E+00;3.06E-05;3.05E+01;2.99E-10;;;;0.000030564;2.9893E-10
8.15E+04;1.00E+00;3.09E-05;3.10E+01;3.03E-10;;;;0.000030887;3.0259E-10
8.20E+04;1.00E+00;3.12E-05;3.15E+01;3.01E-10;;;;0.00003124;3.0109E-10
8.25E+04;1.00E+00;3.16E-05;3.20E+01;3.03E-10;;;;0.000031606;3.0257E-10
8.30E+04;1.00E+00;3.20E-05;3.25E+01;3.01E-10;;;;0.000031971;3.01E-10
8.35E+04;1.00E+00;3.23E-05;3.30E+01;3.01E-10;;;;0.000032316;3.0131E-10
8.40E+04;1.00E+00;3.27E-05;3.35E+01;3.02E-10;;;;0.000032673;3.0235E-10
8.45E+04;1.00E+00;3.30E-05;3.40E+01;3.04E-10;;;;0.00003301;3.0351E-10
8.50E+04;1.00E+00;3.34E-05;3.45E+01;3.02E-10;;;;0.000033359;3.0166E-10
8.55E+04;1.00E+00;3.37E-05;3.50E+01;3.02E-10;;;;0.000033697;3.019E-10
8.60E+04;1.00E+00;3.41E-05;3.55E+01;3.07E-10;;;;0.000034082;3.0724E-10
8.65E+04;1.00E+00;3.44E-05;3.60E+01;3.08E-10;;;;0.000034399;3.0785E-10
8.70E+04;1.00E+00;3.47E-05;3.65E+01;3.07E-10;;;;0.000034742;3.0731E-10
8.75E+04;1.00E+00;3.51E-05;3.70E+01;3.05E-10;;;;0.000035104;3.0497E-10
8.80E+04;1.00E+00;3.55E-05;3.75E+01;3.04E-10;;;;0.000035488;3.0368E-10
8.85E+04;1.00E+00;3.58E-05;3.80E+01;3.04E-10;;;;0.000035814;3.0358E-10
8.90E+04;1.00E+00;3.62E-05;3.85E+01;3.02E-10;;;;0.000036206;3.0222E-10
8.95E+04;1.00E+00;3.65E-05;3.90E+01;3.08E-10;;;;0.000036531;3.0797E-10
9.00E+04;1.00E+00;3.69E-05;3.95E+01;3.07E-10;;;;0.000036863;3.0692E-10
