#scan;iMeasureCycle=1;iMux=0;time=0.133;N=492;LocalTime=21/12/2023 11:56:21;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;VDrain (V);|IDrain| (A)
6.00E-07;8.98E-10;36.316862;-12.5;-1.34E-05;36.316862;;;-12.5;1.33777E-05
4.00E-07;8.98E-10;36.481152;-12;-1.33E-05;36.481152;;;-12;0.0000133
-1.00E-07;8.84E-10;36.631147;-11.5;-1.32E-05;36.631147;;;-11.5;1.32153E-05
-1.00E-07;8.60E-10;36.781088;-11;-1.31E-05;36.781088;;;-11;1.31238E-05
-2.00E-07;8.49E-10;36.95679;-10.5;-1.30E-05;36.95679;;;-10.5;1.30256E-05
-2.00E-07;8.06E-10;37.106642;-10;-1.29E-05;37.106642;;;-10;1.29194E-05
3.00E-07;7.48E-10;37.256584;-9.5;-1.28E-05;37.256584;;;-9.5;1.28036E-05
-4.00E-07;6.84E-10;37.406386;-9;-1.27E-05;37.406386;;;-9;1.26774E-05
-1.00E-07;5.66E-10;37.571357;-8.5;-1.25E-05;37.571357;;;-8.5;1.25359E-05
-4.00E-07;4.43E-10;37.721119;-8;-1.24E-05;37.721119;;;-8;0.000012382
-9.00E-07;3.27E-10;37.870914;-7.5;-1.22E-05;37.870914;;;-7.5;1.22073E-05
-5.00E-07;2.67E-10;38.020756;-7;-1.20E-05;38.020756;;;-7;1.20106E-05
-8.00E-07;2.75E-10;38.172155;-6.5;-1.18E-05;38.172155;;;-6.5;1.17886E-05
-1.00E-07;3.12E-10;38.322063;-6;-1.15E-05;38.322063;;;-6;1.15396E-05
0;4.58E-10;38.48646;-5.5;-1.12E-05;38.48646;;;-5.5;1.12495E-05
-3.00E-07;4.49E-10;38.636425;-5;-1.09E-05;38.636425;;;-5;1.09207E-05
-4.00E-07;4.83E-10;38.786242;-4.5;-1.05E-05;38.786242;;;-4.5;1.05361E-05
-5.00E-07;5.89E-10;38.961969;-4;-1.01E-05;38.961969;;;-4;1.00859E-05
-5.00E-07;5.33E-10;39.11182;-3.5;-9.55E-06;39.11182;;;-3.5;9.5507E-06
-1.00E-07;4.72E-10;39.264206;-3;-8.90E-06;39.264206;;;-3;8.89994E-06
1.00E-07;3.79E-10;39.414006;-2.5;-8.10E-06;39.414006;;;-2.5;8.10035E-06
-2.00E-07;2.67E-10;39.576573;-2;-7.10E-06;39.576573;;;-2;7.0956E-06
-3.00E-07;1.17E-10;39.726327;-1.5;-5.81E-06;39.726327;;;-1.5;5.81211E-06
1.00E-07;-5.91E-11;39.876168;-1;-4.17E-06;39.876168;;;-1;4.16672E-06
-5.00E-07;-2.61E-10;40.026006;-0.5;-2.17E-06;40.026006;;;-0.5;2.16742E-06
-7.00E-07;-4.40E-10;40.200492;-1.00E-05;4.34E-10;40.200492;;;-1.00E-05;4.3447E-10
-5.00001;-5.21E-09;40.376519;0;4.99E-09;40.376519;;;0;4.98851E-09
-5.00001;-3.62E-09;40.529654;-0.5;-2.96E-06;40.529654;;;-0.5;2.9644E-06
-5;-2.97E-09;40.681974;-1;-6.14E-06;40.681974;;;-1;6.14113E-06
-5;-2.42E-09;40.831867;-1.5;-9.40E-06;40.831867;;;-1.5;9.39714E-06
-5.00001;-1.93E-09;41.000322;-2;-1.27E-05;41.000322;;;-2;1.26693E-05
-5;-1.51E-09;41.150213;-2.5;-1.59E-05;41.150213;;;-2.5;1.59057E-05
-5;-1.13E-09;41.300174;-3;-1.91E-05;41.300174;;;-3;1.90699E-05
-5;-8.05E-10;41.479868;-3.5;-2.21E-05;41.479868;;;-3.5;2.21295E-05
-5.00001;-4.38E-10;41.629753;-4;-2.51E-05;41.629753;;;-4;2.50542E-05
-5;-1.41E-10;41.779646;-4.5;-2.78E-05;41.779646;;;-4.5;2.78169E-05
-5.00001;8.25E-11;41.953608;-5;-3.04E-05;41.953608;;;-5;3.03818E-05
-5;3.42E-10;42.103568;-5.5;-3.27E-05;42.103568;;;-5.5;3.27225E-05
-5.00001;5.47E-10;42.253592;-6;-3.48E-05;42.253592;;;-6;3.47942E-05
-5.00001;7.15E-10;42.403457;-6.5;-3.65E-05;42.403457;;;-6.5;3.65426E-05
-5;8.52E-10;42.555581;-7;-3.80E-05;42.555581;;;-7;0.000037966
-5.00001;9.47E-10;42.705488;-7.5;-3.91E-05;42.705488;;;-7.5;3.90992E-05
-5;1.04E-09;42.855257;-8;-4.00E-05;42.855257;;;-8;0.000040015
-5;1.11E-09;43.005163;-8.5;-4.08E-05;43.005163;;;-8.5;4.07622E-05
-5;1.17E-09;43.155033;-9;-4.14E-05;43.155033;;;-9;4.13927E-05
-5;1.25E-09;43.304945;-9.5;-4.19E-05;43.304945;;;-9.5;4.19315E-05
-5.00001;1.23E-09;43.484889;-10;-4.24E-05;43.484889;;;-10;4.23925E-05
-5;1.39E-09;43.634705;-10.5;-4.28E-05;43.634705;;;-10.5;4.28112E-05
-5;1.46E-09;43.784685;-11;-4.32E-05;43.784685;;;-11;4.31845E-05
-5.00001;1.40E-09;43.958767;-11.5;-4.35E-05;43.958767;;;-11.5;4.35014E-05
-5.00001;1.52E-09;44.108734;-12;-4.38E-05;44.108734;;;-12;4.38068E-05
-5.00001;1.54E-09;44.258639;-12.5;-4.41E-05;44.258639;;;-12.5;4.40728E-05
-5;1.51E-09;44.40849;-13;-4.43E-05;44.40849;;;-13;0.000044327
-5.00001;1.44E-09;44.558368;-13.5;-4.45E-05;44.558368;;;-13.5;4.45494E-05
-5;1.39E-09;44.70866;-14;-4.48E-05;44.70866;;;-14;4.47585E-05
-5.00001;1.33E-09;44.858452;-14.5;-4.49E-05;44.858452;;;-14.5;4.49475E-05
-5.00001;1.25E-09;45.008433;-15;-4.51E-05;45.008433;;;-15;4.51166E-05
-5;1.23E-09;45.158295;-15.5;-4.53E-05;45.158295;;;-15.5;4.52826E-05
