File Name: 27_Sample1_device3_trfSat_dark_final.dat;;;;;;;;;
File Data: 17/11/2023;13:17:35;;;;;;;;
Start V: 0;;;;;;;;;
Step V: 0;;;;;;;;;
Stop V: 0;;;;;;;;;
Range V: 200;;;;;;;;;
Delay(ms): 0;;;;;;;;;
Auorange: yes;;;;;;;;;
Sweep type: log;;;;;;;;;
Instrument Meter: SM2614;;;;;;;;;
Time(ms);Vdrain(V);Idrain(A);Vgate(V);Igate(A);;;;|IDrain|, |IGate| (A);|IGate| (A)
8.55E+04;1.00E+00;4.56E-05;3.15E+01;8.18E-11;;;;0.000045611;8.1832E-11
8.60E+04;1.00E+00;4.64E-05;3.20E+01;8.17E-11;;;;0.00004643;8.1748E-11
8.65E+04;1.00E+00;4.73E-05;3.25E+01;8.19E-11;;;;0.000047268;8.1886E-11
8.70E+04;1.00E+00;4.81E-05;3.30E+01;8.30E-11;;;;0.00004811;8.297E-11
8.75E+04;1.00E+00;4.90E-05;3.35E+01;8.37E-11;;;;0.000048959;8.3706E-11
8.80E+04;1.00E+00;4.98E-05;3.40E+01;8.59E-11;;;;0.000049763;8.5867E-11
8.85E+04;1.00E+00;5.06E-05;3.45E+01;8.75E-11;;;;0.000050646;8.7509E-11
8.90E+04;1.00E+00;5.15E-05;3.50E+01;8.87E-11;;;;0.000051456;8.8741E-11
8.95E+04;1.00E+00;5.23E-05;3.55E+01;9.00E-11;;;;0.000052323;8.9959E-11
9.00E+04;1.00E+00;5.32E-05;3.60E+01;9.07E-11;;;;0.000053172;9.0654E-11
9.05E+04;1.00E+00;5.40E-05;3.65E+01;9.09E-11;;;;0.000054033;9.0908E-11
9.10E+04;1.00E+00;5.49E-05;3.70E+01;9.11E-11;;;;0.000054942;9.1072E-11
9.15E+04;1.00E+00;5.58E-05;3.75E+01;2.85E-10;;;;0.000055814;2.849E-10
9.20E+04;1.00E+00;5.67E-05;3.80E+01;9.31E-11;;;;0.000056657;9.3119E-11
9.25E+04;1.00E+00;5.75E-05;3.85E+01;9.37E-11;;;;0.000057537;9.3697E-11
9.30E+04;1.00E+00;5.84E-05;3.90E+01;9.46E-11;;;;0.000058373;9.4584E-11
9.35E+04;1.00E+00;5.93E-05;3.95E+01;9.51E-11;;;;0.000059297;9.5067E-11
9.40E+04;1.00E+00;6.02E-05;4.00E+01;9.52E-11;;;;0.000060205;9.5162E-11
9.45E+04;1.00E+00;6.10E-05;4.05E+01;9.63E-11;;;;0.000061002;9.6277E-11
9.50E+04;1.00E+00;6.19E-05;4.10E+01;9.65E-11;;;;0.00006191;9.6523E-11
9.55E+04;1.00E+00;6.28E-05;4.15E+01;9.69E-11;;;;0.000062774;9.6927E-11
9.60E+04;1.00E+00;6.36E-05;4.20E+01;9.78E-11;;;;0.000063598;9.7847E-11
9.65E+04;1.00E+00;6.45E-05;4.25E+01;9.83E-11;;;;0.00006447;9.8256E-11
9.70E+04;1.00E+00;6.54E-05;4.30E+01;9.87E-11;;;;0.000065366;9.8674E-11
9.75E+04;1.00E+00;6.62E-05;4.35E+01;9.86E-11;;;;0.000066229;9.8556E-11
9.80E+04;1.00E+00;6.71E-05;4.40E+01;9.87E-11;;;;0.00006708;9.8668E-11
9.85E+04;1.00E+00;6.80E-05;4.45E+01;9.99E-11;;;;0.00006797;9.9933E-11
9.90E+04;1.00E+00;6.88E-05;4.50E+01;9.98E-11;;;;0.000068822;9.9814E-11
9.95E+04;1.00E+00;6.97E-05;4.55E+01;1.00E-10;;;;0.000069687;1.0041E-10
1.00E+05;1.00E+00;7.06E-05;4.60E+01;1.00E-10;;;;0.000070578;1.0043E-10
1.01E+05;1.00E+00;7.14E-05;4.65E+01;1.01E-10;;;;0.000071428;1.0068E-10
1.01E+05;1.00E+00;7.22E-05;4.70E+01;1.01E-10;;;;0.000072173;1.0138E-10
1.02E+05;1.00E+00;7.31E-05;4.75E+01;1.02E-10;;;;0.000073072;1.0153E-10
1.02E+05;1.00E+00;7.39E-05;4.80E+01;1.02E-10;;;;0.000073906;1.0218E-10
1.03E+05;1.00E+00;7.47E-05;4.85E+01;1.03E-10;;;;0.00007472;1.0267E-10
1.03E+05;1.00E+00;7.55E-05;4.90E+01;1.03E-10;;;;0.000075544;1.0286E-10
1.04E+05;1.00E+00;7.64E-05;4.95E+01;1.03E-10;;;;0.000076377;1.0327E-10
1.04E+05;1.00E+00;7.73E-05;5.00E+01;1.04E-10;;;;0.00007728;1.0359E-10
1.05E+05;1.00E+00;7.81E-05;5.05E+01;1.04E-10;;;;0.000078106;1.0363E-10
