File Name: 37_Sample12_device3_trfSat_dark.dat;;;;;;;;;
File Data: 15/12/2023;15:40:04;;;;;;;;
Start V: 0;;;;;;;;;
Step V: 0;;;;;;;;;
Stop V: 0;;;;;;;;;
Range V: 200;;;;;;;;;
Delay(ms): 0;;;;;;;;;
Auorange: yes;;;;;;;;;
Sweep type: log;;;;;;;;;
Instrument Meter: SM2614;;;;;;;;;
Time(ms);Vdrain(V);Idrain(A);Vgate(V);Igate(A);;;VGate (V);|IDrain| (A);|IGate| (A)
7.90E+04;1.00E+00;1.94E-10;2.00E+00;-3.92E-10;;;2.00E+00;1.9448E-10;3.9154E-10
7.95E+04;1.00E+00;1.99E-10;1.00E+00;-3.90E-10;;;1.00E+00;1.9921E-10;3.8952E-10
8.00E+04;1.00E+00;2.03E-10;0.00E+00;-3.80E-10;;;0.00E+00;2.0282E-10;3.7984E-10
8.05E+04;1.00E+00;2.02E-10;-1.00E+00;-3.78E-10;;;-1.00E+00;2.0189E-10;3.7764E-10
8.10E+04;1.00E+00;2.08E-10;-2.00E+00;-3.84E-10;;;-2.00E+00;2.0812E-10;3.8436E-10
8.15E+04;1.00E+00;2.14E-10;-3.00E+00;-3.91E-10;;;-3.00E+00;2.1392E-10;3.9087E-10
8.20E+04;1.00E+00;2.12E-10;-4.00E+00;-3.84E-10;;;-4.00E+00;2.1181E-10;3.836E-10
8.25E+04;1.00E+00;2.16E-10;-5.00E+00;-3.72E-10;;;-5.00E+00;2.1589E-10;3.7208E-10
8.30E+04;1.00E+00;2.21E-10;-6.00E+00;-3.72E-10;;;-6.00E+00;2.2093E-10;3.7231E-10
8.35E+04;1.00E+00;2.18E-10;-7.00E+00;-3.77E-10;;;-7.00E+00;2.1792E-10;3.7684E-10
8.40E+04;1.00E+00;2.21E-10;-8.00E+00;-3.57E-10;;;-8.00E+00;2.2146E-10;3.569E-10
8.45E+04;1.00E+00;2.24E-10;-9.00E+00;-3.54E-10;;;-9.00E+00;2.2413E-10;3.5445E-10
8.50E+04;1.00E+00;2.30E-10;-1.00E+01;-3.52E-10;;;-1.00E+01;2.3049E-10;3.5248E-10
8.55E+04;1.00E+00;2.24E-10;-1.10E+01;-3.49E-10;;;-1.10E+01;2.2353E-10;3.4884E-10
8.60E+04;1.00E+00;2.14E-10;-1.20E+01;-3.40E-10;;;-1.20E+01;2.142E-10;3.3969E-10
8.65E+04;1.00E+00;2.18E-10;-1.30E+01;-3.44E-10;;;-1.30E+01;2.1776E-10;3.4408E-10
8.70E+04;1.00E+00;2.20E-10;-1.40E+01;-3.36E-10;;;-1.40E+01;2.1973E-10;3.3634E-10
8.75E+04;1.00E+00;2.15E-10;-1.50E+01;-3.44E-10;;;-1.50E+01;2.1516E-10;3.4371E-10
8.80E+04;1.00E+00;2.05E-10;-1.60E+01;-3.27E-10;;;-1.60E+01;2.0511E-10;3.2697E-10
8.85E+04;1.00E+00;2.00E-10;-1.70E+01;-3.24E-10;;;-1.70E+01;2.0019E-10;3.2371E-10
8.90E+04;1.00E+00;1.99E-10;-1.80E+01;-3.24E-10;;;-1.80E+01;1.9941E-10;3.2429E-10
8.95E+04;1.00E+00;1.93E-10;-1.90E+01;-3.19E-10;;;-1.90E+01;1.9314E-10;3.1856E-10
9.00E+04;1.00E+00;2.01E-10;-2.00E+01;-3.24E-10;;;-2.00E+01;2.01E-10;3.2392E-10
9.05E+04;1.00E+00;1.97E-10;-2.10E+01;-3.34E-10;;;-2.10E+01;1.9708E-10;3.3405E-10
9.10E+04;1.00E+00;1.92E-10;-2.20E+01;-3.35E-10;;;-2.20E+01;1.919E-10;3.3512E-10
9.15E+04;1.00E+00;1.96E-10;-2.30E+01;-4.24E-10;;;-2.30E+01;1.9631E-10;4.2353E-10
