File Name: 17_Sample12_device3_trfSat_dark_vert_foil.dat;;;;;;;;;
File Data: 15/12/2023;12:26:48;;;;;;;;
Start V: 0;;;;;;;;;
Step V: 0;;;;;;;;;
Stop V: 0;;;;;;;;;
Range V: 200;;;;;;;;;
Delay(ms): 0;;;;;;;;;
Auorange: yes;;;;;;;;;
Sweep type: log;;;;;;;;;
Instrument Meter: SM2614;;;;;;;;;
Time(ms);Vdrain(V);Idrain(A);Vgate(V);Igate(A);;;VGate (V);|IDrain| (A);|IGate| (A)
5.65E+04;1.00E+00;1.31E-06;4.80E+01;-9.85E-11;;;4.80E+01;1.3072E-06;9.8504E-11
5.70E+04;1.00E+00;1.21E-06;4.70E+01;-1.08E-10;;;4.70E+01;1.2133E-06;1.0757E-10
5.75E+04;1.00E+00;1.11E-06;4.60E+01;-1.13E-10;;;4.60E+01;1.1096E-06;1.1257E-10
5.80E+04;1.00E+00;1.02E-06;4.50E+01;-1.18E-10;;;4.50E+01;1.0197E-06;1.1802E-10
5.85E+04;1.00E+00;9.40E-07;4.40E+01;-1.24E-10;;;4.40E+01;9.4034E-07;1.238E-10
5.90E+04;1.00E+00;8.67E-07;4.30E+01;-1.48E-10;;;4.30E+01;8.6671E-07;1.4792E-10
5.95E+04;1.00E+00;7.89E-07;4.20E+01;-1.35E-10;;;4.20E+01;7.8883E-07;1.3507E-10
6.00E+04;1.00E+00;7.32E-07;4.10E+01;-1.42E-10;;;4.10E+01;7.3184E-07;1.4206E-10
6.05E+04;1.00E+00;6.61E-07;4.00E+01;-1.38E-10;;;4.00E+01;6.6084E-07;1.3832E-10
6.10E+04;1.00E+00;6.05E-07;3.90E+01;-2.04E-10;;;3.90E+01;6.0477E-07;2.0363E-10
6.15E+04;1.00E+00;5.48E-07;3.80E+01;-2.09E-10;;;3.80E+01;5.475E-07;2.0874E-10
6.20E+04;1.00E+00;4.94E-07;3.70E+01;-1.65E-10;;;3.70E+01;4.9377E-07;1.6505E-10
6.25E+04;1.00E+00;4.51E-07;3.60E+01;-1.64E-10;;;3.60E+01;4.5083E-07;1.6442E-10
6.30E+04;1.00E+00;4.05E-07;3.50E+01;-1.68E-10;;;3.50E+01;4.0461E-07;1.6847E-10
6.35E+04;1.00E+00;3.63E-07;3.40E+01;-1.71E-10;;;3.40E+01;3.6273E-07;1.7089E-10
6.40E+04;1.00E+00;3.24E-07;3.30E+01;-1.73E-10;;;3.30E+01;3.2446E-07;1.7294E-10
6.45E+04;1.00E+00;2.92E-07;3.20E+01;-1.75E-10;;;3.20E+01;2.916E-07;1.7486E-10
6.50E+04;1.00E+00;2.60E-07;3.10E+01;-1.77E-10;;;3.10E+01;2.6021E-07;1.765E-10
6.55E+04;1.00E+00;2.34E-07;3.00E+01;-1.78E-10;;;3.00E+01;2.3377E-07;1.775E-10
6.60E+04;1.00E+00;2.04E-07;2.90E+01;-1.79E-10;;;2.90E+01;2.0393E-07;1.7886E-10
6.65E+04;1.00E+00;1.79E-07;2.80E+01;-1.82E-10;;;2.80E+01;1.7937E-07;1.8198E-10
6.70E+04;1.00E+00;1.58E-07;2.70E+01;-1.81E-10;;;2.70E+01;1.5844E-07;1.8124E-10
6.75E+04;1.00E+00;1.37E-07;2.60E+01;-1.84E-10;;;2.60E+01;1.3695E-07;1.842E-10
6.80E+04;1.00E+00;1.17E-07;2.50E+01;-1.88E-10;;;2.50E+01;1.1656E-07;1.8755E-10
6.85E+04;1.00E+00;9.93E-08;2.40E+01;-1.96E-10;;;2.40E+01;9.9329E-08;1.9594E-10
6.90E+04;1.00E+00;8.62E-08;2.30E+01;-1.81E-09;;;2.30E+01;8.6227E-08;1.8055E-09
6.95E+04;1.00E+00;7.05E-08;2.20E+01;-4.93E-10;;;2.20E+01;7.0458E-08;4.9304E-10
7.00E+04;1.00E+00;5.68E-08;2.10E+01;-1.97E-10;;;2.10E+01;5.6842E-08;1.9693E-10
7.05E+04;1.00E+00;4.34E-08;2.00E+01;-2.03E-10;;;2.00E+01;4.3354E-08;2.0264E-10
7.10E+04;1.00E+00;3.18E-08;1.90E+01;-2.07E-10;;;1.90E+01;3.1832E-08;2.0686E-10
7.15E+04;1.00E+00;2.23E-08;1.80E+01;-2.19E-10;;;1.80E+01;2.2286E-08;2.1902E-10
7.20E+04;1.00E+00;1.51E-08;1.70E+01;-2.74E-10;;;1.70E+01;1.512E-08;2.7352E-10
7.25E+04;1.00E+00;9.90E-09;1.60E+01;-4.06E-10;;;1.60E+01;9.8967E-09;4.0612E-10
7.30E+04;1.00E+00;6.28E-09;1.50E+01;-3.35E-10;;;1.50E+01;6.284E-09;3.3468E-10
