#scan;iMeasureCycle=1;iMux=0;time=0.143;N=482;LocalTime=31/10/2023 16:43:28;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;Idrain^1/2 (^1/2)
26.9999;6.48E-10;27.788552;1;3.28E-05;27.788552;;;0.005727128
27.5;6.86E-10;27.963309;1;3.31E-05;27.963309;;;0.00575326
28;7.11E-10;28.113361;1;3.34E-05;28.113361;;;0.005779273
28.5;7.13E-10;28.263506;1;3.38E-05;28.263506;;;0.005813777
29;6.73E-10;28.413524;1;3.41E-05;28.413524;;;0.005839521
29.5;6.81E-10;28.580556;1;3.44E-05;28.580556;;;0.005865151
30;6.96E-10;28.730716;1;3.48E-05;28.730716;;;0.005899152
30.4999;7.41E-10;28.88079;1;3.51E-05;28.88079;;;0.005924525
31;7.28E-10;29.030813;1;3.54E-05;29.030813;;;0.00594979
31.4999;7.26E-10;29.181121;1;3.58E-05;29.181121;;;0.00598331
31.9999;7.20E-10;29.331158;1;3.61E-05;29.331158;;;0.006008328
32.5;7.41E-10;29.49282;1;3.64E-05;29.49282;;;0.006033241
32.9999;7.74E-10;29.642893;1;3.68E-05;29.642893;;;0.0060663
33.4999;7.83E-10;29.792928;1;3.71E-05;29.792928;;;0.006090977
34;7.52E-10;29.968453;1;3.74E-05;29.968453;;;0.006115554
34.5;8.13E-10;30.118537;1;3.78E-05;30.118537;;;0.00614817
35;7.69E-10;30.268797;1;3.81E-05;30.268797;;;0.00617252
35.4999;7.42E-10;30.418888;1;3.84E-05;30.418888;;;0.006196773
36;7.96E-10;30.586025;1;3.88E-05;30.586025;;;0.006228965
36.5;7.76E-10;30.736268;1;3.91E-05;30.736268;;;0.006252999
36.9999;8.21E-10;30.886293;1;3.94E-05;30.886293;;;0.006276942
37.5;8.41E-10;31.03659;1;3.98E-05;31.03659;;;0.006308724
37.9999;9.09E-10;31.188871;1;4.01E-05;31.188871;;;0.006332456
38.5;9.32E-10;31.338896;1;4.04E-05;31.338896;;;0.006356099
38.9999;9.31E-10;31.498947;1;4.08E-05;31.498947;;;0.006387488
39.4999;1.01E-09;31.649137;1;4.11E-05;31.649137;;;0.006410928
39.9999;1.22E-09;31.799311;1;4.14E-05;31.799311;;;0.006434283
40.4999;1.04E-09;31.973776;1;4.17E-05;31.973776;;;0.006457554
40.9999;1.01E-09;32.124097;1;4.21E-05;32.124097;;;0.006488451
41.4999;9.83E-10;32.274286;1;4.24E-05;32.274286;;;0.006511528
41.9999;9.93E-10;32.424359;1;4.27E-05;32.424359;;;0.006534524
42.5;1.03E-09;32.59194;1;4.31E-05;32.59194;;;0.006565059
43;1.05E-09;32.742484;0.999999;4.34E-05;32.742484;;;0.006587868
43.5;1.15E-09;32.892588;1;4.38E-05;32.892588;;;0.006618157
43.9999;1.13E-09;33.042785;1;4.41E-05;33.042785;;;0.006640783
44.5;1.13E-09;33.193014;1;4.44E-05;33.193014;;;0.006663332
45;1.15E-09;33.343241;1;4.48E-05;33.343241;;;0.00669328
45.4999;1.14E-09;33.504033;1;4.51E-05;33.504033;;;0.006715653
