#scan;iMeasureCycle=1;iMux=0;time=0.129;N=210;LocalTime=20/12/2023 12:02:21;;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;;VDrain (V);|IDrain| (A)
-5;-1.17E-08;29.875787;-7;-2.88E-05;29.875787;;;;-7;2.87879E-05
-5;-1.16E-08;30.037513;-7.5;-2.89E-05;30.037513;;;;-7.5;2.88715E-05
-5;-1.17E-08;30.1814;-8;-2.89E-05;30.1814;;;;-8;2.89301E-05
-5;-1.20E-08;30.325378;-8.5;-2.90E-05;30.325378;;;;-8.5;2.89856E-05
-5;-1.16E-08;30.469305;-9;-2.90E-05;30.469305;;;;-9;2.90268E-05
-5;-1.16E-08;30.613203;-9.5;-2.91E-05;30.613203;;;;-9.5;2.90642E-05
-5;-1.16E-08;30.75705;-10;-2.91E-05;30.75705;;;;-10;2.91007E-05
-5;-1.15E-08;30.880563;-10;-2.91E-05;30.880563;;;;-10;2.91012E-05
-5;-1.14E-08;31.039922;-9.5;-2.91E-05;31.039922;;;;-9.5;2.90711E-05
-5.00001;-1.09E-08;31.183816;-9;-2.90E-05;31.183816;;;;-9;2.90242E-05
-5;-1.10E-08;31.327768;-8.5;-2.90E-05;31.327768;;;;-8.5;2.89782E-05
-5.00001;-1.10E-08;31.471694;-8;-2.89E-05;31.471694;;;;-8;2.89266E-05
-5;-1.10E-08;31.615589;-7.5;-2.89E-05;31.615589;;;;-7.5;2.88643E-05
-5;-1.11E-08;31.759446;-7;-2.88E-05;31.759446;;;;-7;2.87865E-05
-5;-1.09E-08;31.928908;-6.5;-2.87E-05;31.928908;;;;-6.5;2.86769E-05
-5.00001;-1.09E-08;32.072802;-6;-2.85E-05;32.072802;;;;-6;2.85136E-05
-5;-1.18E-08;32.216715;-5.5;-2.82E-05;32.216715;;;;-5.5;2.81925E-05
-5;-1.12E-08;32.360592;-5;-2.76E-05;32.360592;;;;-5;2.75746E-05
-5;-1.18E-08;32.504499;-4.5;-2.66E-05;32.504499;;;;-4.5;2.65825E-05
-5;-1.26E-08;32.648409;-4;-2.52E-05;32.648409;;;;-4;2.51877E-05
-5;-1.32E-08;32.792287;-3.5;-2.34E-05;32.792287;;;;-3.5;2.33786E-05
-5;-1.39E-08;32.952847;-3;-2.12E-05;32.952847;;;;-3;2.11791E-05
-5;-1.56E-08;33.096779;-2.5;-1.86E-05;33.096779;;;;-2.5;1.85807E-05
-5;-1.62E-08;33.24062;-2;-1.56E-05;33.24062;;;;-2;1.55805E-05
-5;-1.73E-08;33.384568;-1.5;-1.22E-05;33.384568;;;;-1.5;1.21719E-05
-5;-1.89E-08;33.548644;-1;-8.35E-06;33.548644;;;;-1;8.35486E-06
-5;-2.00E-08;33.692471;-0.5;-4.20E-06;33.692471;;;;-0.5;4.19795E-06
-5;-2.19E-08;33.853546;-1.00E-05;1.62E-08;33.853546;;;;-1.00E-05;1.6179E-08
